global_round,task_pos,round_in_task,client_id,task_id,block,eps_trained,eps_aggr,eps_global,cknna_trained,cknna_aggr,cknna_global
77,3,1,3,2,4,0.985438,1.617946,0.499197,0.244115,0.217211,0.366172
77,3,1,1,3,4,0.193491,0.003422,0.000664,0.20875,0.223125,0.527813
78,3,2,3,2,4,1.355585,1.449031,0.426911,0.273294,0.25183,0.494164
78,3,2,1,3,4,0.448308,0.002517,0.00029,0.187188,0.2,0.59625
78,3,2,0,4,4,0.00044,0.000409,0.000102,0.351724,0.35,0.884483
79,3,3,0,4,4,0.000123,0.000206,7e-05,0.37069,0.3,0.701724
79,3,3,1,3,4,1.140785,0.006335,0.001523,0.128125,0.154688,0.45
79,3,3,3,2,4,1.558443,1.233021,0.860702,0.232245,0.231157,0.284471
80,3,4,0,4,4,0.000602,0.000887,0.000372,0.32069,0.310345,0.791379
80,3,4,1,3,4,1.291204,0.008396,0.001102,0.125312,0.159063,0.456875
80,3,4,3,2,4,1.054062,1.263654,0.805816,0.294461,0.237587,0.354896
81,3,5,3,2,4,1.301325,2.490029,1.833192,0.267755,0.20178,0.217408
81,3,5,1,3,4,1.679144,0.098322,0.196598,0.136563,0.189375,0.332188
81,3,5,0,4,4,0.000122,6.1e-05,6.6e-05,0.322414,0.368966,0.715517
82,3,6,3,2,4,1.534618,3.116505,1.135145,0.228684,0.190999,0.305638
82,3,6,0,4,4,5.7e-05,0.000125,9e-05,0.355172,0.327586,0.643103
82,3,6,1,3,4,0.45216,0.002885,0.001302,0.16,0.192813,0.444063
83,3,7,0,4,4,7.9e-05,0.00012,4.1e-05,0.37069,0.355172,0.765517
83,3,7,1,3,4,1.542974,0.003524,0.00129,0.12125,0.16125,0.453438
83,3,7,3,2,4,1.516759,1.890813,1.114489,0.253314,0.216716,0.310979
84,3,8,3,2,4,1.443891,1.597798,0.930261,0.232542,0.207319,0.362117
84,3,8,0,4,4,6e-05,0.000275,9.5e-05,0.291379,0.286207,0.887931
84,3,8,1,3,4,1.564024,0.221915,0.062957,0.16125,0.203125,0.465938
85,3,9,1,3,4,2.029881,0.535646,0.115871,0.1175,0.144375,0.4375
85,3,9,3,2,4,1.342,1.649952,1.000432,0.267656,0.24184,0.291395
85,3,9,0,4,4,9.4e-05,0.000214,0.000102,0.337931,0.315517,0.732759
86,3,10,1,3,4,2.419707,0.636917,0.250154,0.107188,0.1525,0.344063
86,3,10,3,2,4,1.439374,2.32899,2.445834,0.278338,0.180613,0.198417
86,3,10,0,4,4,0.00098,0.000616,0.000347,0.344828,0.334483,0.693103
87,3,11,0,4,4,0.000128,0.000435,0.000159,0.246552,0.265517,0.813793
87,3,11,1,3,4,1.057333,0.86314,0.227913,0.194688,0.236563,0.458125
87,3,11,3,2,4,1.426278,1.73758,1.095737,0.286647,0.223838,0.31276
88,3,12,1,3,4,1.693343,0.755951,0.143746,0.169688,0.1975,0.5325
88,3,12,3,2,4,1.785426,1.759108,0.949567,0.309001,0.228882,0.3727
88,3,12,0,4,4,4.7e-05,0.000132,6.8e-05,0.317241,0.306897,0.844828
89,3,13,3,2,4,1.600648,2.082139,1.00685,0.259446,0.240356,0.351236
89,3,13,0,4,4,0.000141,0.000744,0.00018,0.301724,0.313793,0.818966
89,3,13,1,3,4,1.510756,0.3604,0.086646,0.12625,0.16375,0.427188
90,3,14,1,3,4,2.816342,0.913031,0.842375,0.12,0.164687,0.348438
90,3,14,3,2,4,1.21902,3.3573,3.380834,0.305143,0.164095,0.203956
90,3,14,0,4,4,0.00066,0.000369,0.000263,0.346552,0.358621,0.52069
91,3,15,3,2,4,1.193183,1.840705,1.687976,0.322849,0.176162,0.204253
91,3,15,0,4,4,8.7e-05,7e-05,4.6e-05,0.293103,0.268966,0.536207
91,3,15,1,3,4,2.262965,1.087284,0.252565,0.073125,0.121875,0.300313
92,3,16,1,3,4,1.711179,1.081299,0.596316,0.098125,0.144688,0.335625
92,3,16,3,2,4,1.684764,2.325032,1.712969,0.2727,0.173096,0.206133
92,3,16,0,4,4,0.000376,0.000316,7.7e-05,0.267241,0.272414,0.624138
93,3,17,1,3,4,2.644367,1.791021,0.398621,0.08,0.105938,0.298125
93,3,17,0,4,4,0.000392,0.001036,0.000414,0.332759,0.263793,0.574138
93,3,17,3,2,4,2.087737,3.172032,2.825339,0.305935,0.118497,0.132344
94,3,18,3,2,4,1.696356,2.571329,2.362824,0.283383,0.119387,0.123244
94,3,18,1,3,4,3.595786,2.159478,0.461433,0.075625,0.114688,0.274375
94,3,18,0,4,4,0.000163,0.000199,0.000338,0.251724,0.272414,0.546552
95,3,19,1,3,4,1.815387,2.445652,0.374629,0.12,0.162188,0.450625
95,3,19,0,4,4,0.000117,0.000119,6e-05,0.346552,0.341379,0.848276
95,3,19,3,2,4,1.720841,1.850781,1.280675,0.304352,0.245895,0.336696
96,3,20,1,3,4,2.934364,1.160891,0.550073,0.130625,0.156562,0.443437
96,3,20,3,2,4,1.639476,7.854917,3.611208,0.307319,0.192384,0.268645
96,3,20,0,4,4,6.9e-05,3.9e-05,6.5e-05,0.417241,0.432759,0.591379
97,3,21,0,4,4,0.000101,0.00158,0.000583,0.310345,0.301724,0.468966
97,3,21,3,2,4,1.883238,4.257014,1.489429,0.235015,0.143027,0.226311
97,3,21,1,3,4,2.513515,3.906594,0.595834,0.130312,0.18375,0.421563
98,3,22,0,4,4,0.000242,0.000171,6.3e-05,0.351724,0.32931,0.613793
98,3,22,1,3,4,2.530038,2.047678,0.700914,0.12625,0.165313,0.429062
98,3,22,3,2,4,1.666182,1.559565,1.447653,0.299209,0.253017,0.282888
99,3,23,1,3,4,1.578331,2.11233,0.604015,0.134063,0.195,0.335938
99,3,23,0,4,4,0.000101,7.7e-05,4.4e-05,0.355172,0.353448,0.601724
99,3,23,3,2,4,1.870089,2.587701,2.569355,0.306627,0.180415,0.215232
100,3,24,0,4,4,5.5e-05,3.8e-05,3e-05,0.305172,0.355172,0.556897
100,3,24,3,2,4,1.832042,3.700137,4.950197,0.334619,0.196044,0.237488
100,3,24,1,3,4,3.484762,0.824435,0.468442,0.118125,0.16,0.386875
101,4,0,4,3,4,4.411566,7.881822,3.348815,0.032787,0.047541,0.058122
101,4,0,0,3,4,3.592181,9.367221,5.978103,0.21857,0.049752,0.051936
101,4,0,2,4,4,0.009935,0.000256,0.000181,0.108824,0.15,0.169608
