global_round,task_pos,round_in_task,client_id,task_id,block,eps_trained,eps_aggr,eps_global,cknna_trained,cknna_aggr,cknna_global
46,1,20,2,2,4,1.670167,2.620889,0.545526,0.35812,0.279487,0.440537
46,1,20,1,0,4,0.000191,0.000239,0.000238,0.955102,0.84898,0.846939
46,1,20,4,2,4,2e-06,2e-06,2e-06,1.0,1.0,1.0
47,1,21,0,2,4,2.556172,1.009806,0.536701,0.163277,0.216572,0.431827
47,1,21,2,2,4,0.759993,6.937654,2.695317,0.339194,0.195482,0.314896
47,1,21,1,0,4,0.000321,0.001099,0.001316,0.885714,0.728572,0.759184
47,1,21,3,0,4,3e-06,4e-06,3e-06,0.983333,0.983333,0.991667
47,1,21,4,2,4,3e-06,2e-06,2e-06,1.0,1.0,1.0
48,1,22,0,2,4,2.327156,0.993123,0.546646,0.149341,0.211488,0.387006
48,1,22,3,0,4,3e-06,2e-06,2e-06,0.933333,0.941667,0.991667
48,1,22,1,0,4,0.000133,0.001277,0.001358,0.920408,0.755102,0.722449
48,1,22,2,2,4,0.678338,2.68961,1.129243,0.266178,0.195727,0.273748
48,1,22,4,2,4,2e-06,3e-06,3e-06,1.0,1.0,1.0
49,1,23,1,0,4,0.000911,0.000548,0.000604,0.838775,0.734694,0.8
49,1,23,2,2,4,1.84685,2.656282,0.931511,0.326252,0.237729,0.392552
49,1,23,4,2,4,3e-06,4e-06,3e-06,1.0,1.0,1.0
49,1,23,0,2,4,1.358348,1.272447,0.502391,0.167985,0.213559,0.447646
49,1,23,3,0,4,2e-06,2e-06,2e-06,0.991667,1.0,0.991667
50,1,24,2,2,4,2.613179,3.738821,1.562019,0.36398,0.194017,0.289255
50,1,24,4,2,4,2e-06,2e-06,2e-06,1.0,1.0,1.0
50,1,24,3,0,4,5e-06,4e-06,2e-06,0.958333,0.966667,0.991667
50,1,24,0,2,4,1.104959,1.612886,0.514196,0.179284,0.238418,0.374953
50,1,24,1,0,4,0.000277,0.000454,0.000466,0.92449,0.712245,0.716327
51,2,0,4,1,4,3.053363,2.57222,1.035028,0.173546,0.136773,0.190244
51,2,0,2,1,4,0.003461,0.000806,0.001274,0.247788,0.397345,0.336283
51,2,0,0,1,4,0.000309,0.000138,0.000207,0.304348,0.33913,0.51087
51,2,0,1,2,4,10.700454,0.831391,0.516538,0.105181,0.104663,0.176166
51,2,0,3,3,4,1.474342,12.771727,1.304642,0.046271,0.067275,0.101979
52,2,1,2,1,4,0.003277,0.000143,7.7e-05,0.297345,0.346903,0.523009
52,2,1,0,1,4,0.000149,0.000129,6.9e-05,0.443478,0.43913,0.628261
52,2,1,1,2,4,0.56215,0.804176,0.123101,0.120207,0.118394,0.319948
52,2,1,3,3,4,13.068444,2.05099,0.587324,0.058295,0.096804,0.256925
52,2,1,4,1,4,0.608028,1.683172,0.849365,0.318762,0.231332,0.310131
53,2,2,2,1,4,0.001849,0.004348,0.002599,0.336283,0.40354,0.552212
53,2,2,3,3,4,1.029889,3.106045,0.645575,0.079604,0.115677,0.293607
53,2,2,1,2,4,0.60316,0.709796,0.3729,0.150259,0.152591,0.350518
53,2,2,4,1,4,2.397327,4.298681,3.370578,0.224203,0.213133,0.320263
53,2,2,0,1,4,2.4e-05,0.000371,7e-05,0.467391,0.504348,0.647826
54,2,3,4,1,4,1.403245,6.144413,1.593912,0.162101,0.15272,0.281238
54,2,3,1,2,4,0.361739,0.004478,0.003471,0.144819,0.138601,0.257254
54,2,3,3,3,4,2.312757,2.927238,0.657197,0.087519,0.11172,0.235769
54,2,3,2,1,4,0.001869,0.000471,0.000357,0.337168,0.49469,0.512389
54,2,3,0,1,4,0.000146,0.000128,0.000117,0.447826,0.454348,0.604348
55,2,4,3,3,4,1.138251,2.507203,0.815567,0.087367,0.108067,0.191172
55,2,4,0,1,4,3.5e-05,4.6e-05,4.1e-05,0.471739,0.456522,0.591304
55,2,4,2,1,4,0.000335,0.000337,0.000286,0.281416,0.366372,0.452212
55,2,4,4,1,4,0.754547,1.502725,0.92632,0.218949,0.17167,0.25272
55,2,4,1,2,4,0.006253,0.008506,0.003823,0.11943,0.128756,0.251813
56,2,5,2,1,4,0.000201,0.000391,0.000392,0.310619,0.426549,0.50531
56,2,5,3,3,4,1.355453,3.841153,0.918806,0.103196,0.133333,0.245205
56,2,5,4,1,4,0.827852,1.652401,1.366579,0.174672,0.218011,0.28349
56,2,5,1,2,4,0.005717,0.290243,0.089798,0.127979,0.13601,0.265026
56,2,5,0,1,4,6.6e-05,0.000344,9.3e-05,0.417391,0.393478,0.65
57,2,6,1,2,4,0.006735,0.006154,0.002196,0.120207,0.139119,0.293264
57,2,6,0,1,4,5.9e-05,0.000126,5.1e-05,0.41087,0.41087,0.684783
57,2,6,4,1,4,0.686693,2.223758,2.054303,0.238274,0.245591,0.310507
57,2,6,3,3,4,1.298715,2.411985,0.894791,0.117047,0.150685,0.25449
57,2,6,2,1,4,0.000245,0.000786,0.000676,0.314159,0.414159,0.500885
58,2,7,0,1,4,5.2e-05,0.0001,3.4e-05,0.415217,0.482609,0.68913
58,2,7,1,2,4,0.001313,0.011466,0.004537,0.124352,0.143005,0.391969
58,2,7,4,1,4,3.449027,4.442702,0.788101,0.169794,0.206567,0.393246
58,2,7,2,1,4,0.000814,0.000817,0.0005,0.364602,0.454867,0.615044
58,2,7,3,3,4,1.022359,4.868562,0.624386,0.132877,0.119939,0.349924
